00000000000 // a =  0 , b =  0 , sel =  0
10010001100 // a =  8 , b = 12 , sel =  4
10010001101 // a =  8 , b = 13 , sel =  4
10010001110 // a =  8 , b = 14 , sel =  4
10010001111 // a =  8 , b = 15 , sel =  4
10010010000 // a =  9 , b =  0 , sel =  4
10010010001 // a =  9 , b =  1 , sel =  4
10010010010 // a =  9 , b =  2 , sel =  4
10010010011 // a =  9 , b =  3 , sel =  4
10010010100 // a =  9 , b =  4 , sel =  4
10010010101 // a =  9 , b =  5 , sel =  4
10010010110 // a =  9 , b =  6 , sel =  4
10010010111 // a =  9 , b =  7 , sel =  4
10010011000 // a =  9 , b =  8 , sel =  4
10010011001 // a =  9 , b =  9 , sel =  4
10010011010 // a =  9 , b = 10 , sel =  4
10010011011 // a =  9 , b = 11 , sel =  4
10010011100 // a =  9 , b = 12 , sel =  4
10010011101 // a =  9 , b = 13 , sel =  4
10010011110 // a =  9 , b = 14 , sel =  4
10010011111 // a =  9 , b = 15 , sel =  4
10010100000 // a = 10 , b =  0 , sel =  4
10010100001 // a = 10 , b =  1 , sel =  4
10010100010 // a = 10 , b =  2 , sel =  4
10010100011 // a = 10 , b =  3 , sel =  4
10010100100 // a = 10 , b =  4 , sel =  4
10010100101 // a = 10 , b =  5 , sel =  4
10010100110 // a = 10 , b =  6 , sel =  4
10010100111 // a = 10 , b =  7 , sel =  4
10010101000 // a = 10 , b =  8 , sel =  4
10010101001 // a = 10 , b =  9 , sel =  4
10010101010 // a = 10 , b = 10 , sel =  4
10010101011 // a = 10 , b = 11 , sel =  4
10010101100 // a = 10 , b = 12 , sel =  4
10010101101 // a = 10 , b = 13 , sel =  4
10010101110 // a = 10 , b = 14 , sel =  4
10010101111 // a = 10 , b = 15 , sel =  4
10010110000 // a = 11 , b =  0 , sel =  4
10010110001 // a = 11 , b =  1 , sel =  4
10010110010 // a = 11 , b =  2 , sel =  4
10010110011 // a = 11 , b =  3 , sel =  4
10010110100 // a = 11 , b =  4 , sel =  4
10010110101 // a = 11 , b =  5 , sel =  4
10010110110 // a = 11 , b =  6 , sel =  4
10010110111 // a = 11 , b =  7 , sel =  4
10010111000 // a = 11 , b =  8 , sel =  4
10010111001 // a = 11 , b =  9 , sel =  4
10010111010 // a = 11 , b = 10 , sel =  4
10010111011 // a = 11 , b = 11 , sel =  4
10010111100 // a = 11 , b = 12 , sel =  4
10010111101 // a = 11 , b = 13 , sel =  4
10010111110 // a = 11 , b = 14 , sel =  4
10010111111 // a = 11 , b = 15 , sel =  4
10011000000 // a = 12 , b =  0 , sel =  4
10011000001 // a = 12 , b =  1 , sel =  4
10011000010 // a = 12 , b =  2 , sel =  4
10011000011 // a = 12 , b =  3 , sel =  4
10011000100 // a = 12 , b =  4 , sel =  4
10011000101 // a = 12 , b =  5 , sel =  4
10011000110 // a = 12 , b =  6 , sel =  4
10011000111 // a = 12 , b =  7 , sel =  4
10011001000 // a = 12 , b =  8 , sel =  4
10011001001 // a = 12 , b =  9 , sel =  4
10011001010 // a = 12 , b = 10 , sel =  4
10011001011 // a = 12 , b = 11 , sel =  4
10011001100 // a = 12 , b = 12 , sel =  4
10011001101 // a = 12 , b = 13 , sel =  4
10011001110 // a = 12 , b = 14 , sel =  4
10011001111 // a = 12 , b = 15 , sel =  4
10011010000 // a = 13 , b =  0 , sel =  4
10011010001 // a = 13 , b =  1 , sel =  4
10011010010 // a = 13 , b =  2 , sel =  4
10011010011 // a = 13 , b =  3 , sel =  4
10011010100 // a = 13 , b =  4 , sel =  4
10011010101 // a = 13 , b =  5 , sel =  4
10011010110 // a = 13 , b =  6 , sel =  4
10011010111 // a = 13 , b =  7 , sel =  4
10011011000 // a = 13 , b =  8 , sel =  4
10011011001 // a = 13 , b =  9 , sel =  4
10011011010 // a = 13 , b = 10 , sel =  4
10011011011 // a = 13 , b = 11 , sel =  4
10011011100 // a = 13 , b = 12 , sel =  4
10011011101 // a = 13 , b = 13 , sel =  4
10011011110 // a = 13 , b = 14 , sel =  4
10011011111 // a = 13 , b = 15 , sel =  4
10011100000 // a = 14 , b =  0 , sel =  4
10011100001 // a = 14 , b =  1 , sel =  4
10011100010 // a = 14 , b =  2 , sel =  4
10011100011 // a = 14 , b =  3 , sel =  4
10011100100 // a = 14 , b =  4 , sel =  4
10011100101 // a = 14 , b =  5 , sel =  4
10011100110 // a = 14 , b =  6 , sel =  4
10011100111 // a = 14 , b =  7 , sel =  4
10011101000 // a = 14 , b =  8 , sel =  4
10011101001 // a = 14 , b =  9 , sel =  4
10011101010 // a = 14 , b = 10 , sel =  4
10011101011 // a = 14 , b = 11 , sel =  4
10011101100 // a = 14 , b = 12 , sel =  4
10011101101 // a = 14 , b = 13 , sel =  4
10011101110 // a = 14 , b = 14 , sel =  4
10011101111 // a = 14 , b = 15 , sel =  4
10011110000 // a = 15 , b =  0 , sel =  4
10011110001 // a = 15 , b =  1 , sel =  4
10011110010 // a = 15 , b =  2 , sel =  4
10011110011 // a = 15 , b =  3 , sel =  4
10011110100 // a = 15 , b =  4 , sel =  4
10011110101 // a = 15 , b =  5 , sel =  4
10011110110 // a = 15 , b =  6 , sel =  4
10011110111 // a = 15 , b =  7 , sel =  4
10011111000 // a = 15 , b =  8 , sel =  4
10011111001 // a = 15 , b =  9 , sel =  4
10011111010 // a = 15 , b = 10 , sel =  4
10011111011 // a = 15 , b = 11 , sel =  4
10011111100 // a = 15 , b = 12 , sel =  4
10011111101 // a = 15 , b = 13 , sel =  4
10011111110 // a = 15 , b = 14 , sel =  4
10011111111 // a = 15 , b = 15 , sel =  4
10100000000 // a =  0 , b =  0 , sel =  5
10100000001 // a =  0 , b =  1 , sel =  5
10100000010 // a =  0 , b =  2 , sel =  5
10100000011 // a =  0 , b =  3 , sel =  5
10100000100 // a =  0 , b =  4 , sel =  5
10100000101 // a =  0 , b =  5 , sel =  5
10100000110 // a =  0 , b =  6 , sel =  5
10100000111 // a =  0 , b =  7 , sel =  5
10100001000 // a =  0 , b =  8 , sel =  5
10100001001 // a =  0 , b =  9 , sel =  5
10100001010 // a =  0 , b = 10 , sel =  5
10100001011 // a =  0 , b = 11 , sel =  5
10100001100 // a =  0 , b = 12 , sel =  5
10100001101 // a =  0 , b = 13 , sel =  5
10100001110 // a =  0 , b = 14 , sel =  5
10100001111 // a =  0 , b = 15 , sel =  5
10100010000 // a =  1 , b =  0 , sel =  5
10100010001 // a =  1 , b =  1 , sel =  5
10100010010 // a =  1 , b =  2 , sel =  5
10100010011 // a =  1 , b =  3 , sel =  5
10100010100 // a =  1 , b =  4 , sel =  5
10100010101 // a =  1 , b =  5 , sel =  5
10100010110 // a =  1 , b =  6 , sel =  5
10100010111 // a =  1 , b =  7 , sel =  5
10100011000 // a =  1 , b =  8 , sel =  5
10100011001 // a =  1 , b =  9 , sel =  5
10100011010 // a =  1 , b = 10 , sel =  5
10100011011 // a =  1 , b = 11 , sel =  5
10100011100 // a =  1 , b = 12 , sel =  5
10100011101 // a =  1 , b = 13 , sel =  5
10100011110 // a =  1 , b = 14 , sel =  5
10100011111 // a =  1 , b = 15 , sel =  5
10100100000 // a =  2 , b =  0 , sel =  5
10100100001 // a =  2 , b =  1 , sel =  5
10100100010 // a =  2 , b =  2 , sel =  5
10100100011 // a =  2 , b =  3 , sel =  5
10100100100 // a =  2 , b =  4 , sel =  5
10100100101 // a =  2 , b =  5 , sel =  5
10100100110 // a =  2 , b =  6 , sel =  5
10100100111 // a =  2 , b =  7 , sel =  5
10100101000 // a =  2 , b =  8 , sel =  5
10100101001 // a =  2 , b =  9 , sel =  5
10100101010 // a =  2 , b = 10 , sel =  5
10100101011 // a =  2 , b = 11 , sel =  5
10100101100 // a =  2 , b = 12 , sel =  5
10100101101 // a =  2 , b = 13 , sel =  5
10100101110 // a =  2 , b = 14 , sel =  5
10100101111 // a =  2 , b = 15 , sel =  5
10100110000 // a =  3 , b =  0 , sel =  5
10100110001 // a =  3 , b =  1 , sel =  5
10100110010 // a =  3 , b =  2 , sel =  5
10100110011 // a =  3 , b =  3 , sel =  5
10100110100 // a =  3 , b =  4 , sel =  5
10100110101 // a =  3 , b =  5 , sel =  5
10100110110 // a =  3 , b =  6 , sel =  5
10100110111 // a =  3 , b =  7 , sel =  5
10100111000 // a =  3 , b =  8 , sel =  5
10100111001 // a =  3 , b =  9 , sel =  5
10100111010 // a =  3 , b = 10 , sel =  5
10100111011 // a =  3 , b = 11 , sel =  5
10100111100 // a =  3 , b = 12 , sel =  5
10100111101 // a =  3 , b = 13 , sel =  5
10100111110 // a =  3 , b = 14 , sel =  5
10100111111 // a =  3 , b = 15 , sel =  5
10101000000 // a =  4 , b =  0 , sel =  5
10101000001 // a =  4 , b =  1 , sel =  5
10101000010 // a =  4 , b =  2 , sel =  5
10101000011 // a =  4 , b =  3 , sel =  5
10101000100 // a =  4 , b =  4 , sel =  5
10101000101 // a =  4 , b =  5 , sel =  5
10101000110 // a =  4 , b =  6 , sel =  5
10101000111 // a =  4 , b =  7 , sel =  5
10101001000 // a =  4 , b =  8 , sel =  5
10101001001 // a =  4 , b =  9 , sel =  5
10101001010 // a =  4 , b = 10 , sel =  5
10101001011 // a =  4 , b = 11 , sel =  5
10101001100 // a =  4 , b = 12 , sel =  5
10101001101 // a =  4 , b = 13 , sel =  5
10101001110 // a =  4 , b = 14 , sel =  5
10101001111 // a =  4 , b = 15 , sel =  5
10101010000 // a =  5 , b =  0 , sel =  5
10101010001 // a =  5 , b =  1 , sel =  5
10101010010 // a =  5 , b =  2 , sel =  5
10101010011 // a =  5 , b =  3 , sel =  5
10101010100 // a =  5 , b =  4 , sel =  5
10101010101 // a =  5 , b =  5 , sel =  5
10101010110 // a =  5 , b =  6 , sel =  5
10101010111 // a =  5 , b =  7 , sel =  5
10101011000 // a =  5 , b =  8 , sel =  5
10101011001 // a =  5 , b =  9 , sel =  5
10101011010 // a =  5 , b = 10 , sel =  5
10101011011 // a =  5 , b = 11 , sel =  5
10101011100 // a =  5 , b = 12 , sel =  5
10101011101 // a =  5 , b = 13 , sel =  5
10101011110 // a =  5 , b = 14 , sel =  5
10101011111 // a =  5 , b = 15 , sel =  5
10101100000 // a =  6 , b =  0 , sel =  5
10101100001 // a =  6 , b =  1 , sel =  5
10101100010 // a =  6 , b =  2 , sel =  5
10101100011 // a =  6 , b =  3 , sel =  5
10101100100 // a =  6 , b =  4 , sel =  5
10101100101 // a =  6 , b =  5 , sel =  5
10101100110 // a =  6 , b =  6 , sel =  5
10101100111 // a =  6 , b =  7 , sel =  5
10101101000 // a =  6 , b =  8 , sel =  5
10101101001 // a =  6 , b =  9 , sel =  5
10101101010 // a =  6 , b = 10 , sel =  5
10101101011 // a =  6 , b = 11 , sel =  5
10101101100 // a =  6 , b = 12 , sel =  5
10101101101 // a =  6 , b = 13 , sel =  5
10101101110 // a =  6 , b = 14 , sel =  5
10101101111 // a =  6 , b = 15 , sel =  5
10101110000 // a =  7 , b =  0 , sel =  5
10101110001 // a =  7 , b =  1 , sel =  5
10101110010 // a =  7 , b =  2 , sel =  5
10101110011 // a =  7 , b =  3 , sel =  5
10101110100 // a =  7 , b =  4 , sel =  5
10101110101 // a =  7 , b =  5 , sel =  5
10101110110 // a =  7 , b =  6 , sel =  5
10101110111 // a =  7 , b =  7 , sel =  5
10101111000 // a =  7 , b =  8 , sel =  5
10101111001 // a =  7 , b =  9 , sel =  5
10101111010 // a =  7 , b = 10 , sel =  5
10101111011 // a =  7 , b = 11 , sel =  5
10101111100 // a =  7 , b = 12 , sel =  5
10101111101 // a =  7 , b = 13 , sel =  5
10101111110 // a =  7 , b = 14 , sel =  5
10101111111 // a =  7 , b = 15 , sel =  5
10110000000 // a =  8 , b =  0 , sel =  5
10110000001 // a =  8 , b =  1 , sel =  5
10110000010 // a =  8 , b =  2 , sel =  5
10110000011 // a =  8 , b =  3 , sel =  5
10110000100 // a =  8 , b =  4 , sel =  5
10110000101 // a =  8 , b =  5 , sel =  5
10110000110 // a =  8 , b =  6 , sel =  5
10110000111 // a =  8 , b =  7 , sel =  5
10110001000 // a =  8 , b =  8 , sel =  5
10110001001 // a =  8 , b =  9 , sel =  5
10110001010 // a =  8 , b = 10 , sel =  5
10110001011 // a =  8 , b = 11 , sel =  5
10110001100 // a =  8 , b = 12 , sel =  5
10110001101 // a =  8 , b = 13 , sel =  5
10110001110 // a =  8 , b = 14 , sel =  5
10110001111 // a =  8 , b = 15 , sel =  5
10110010000 // a =  9 , b =  0 , sel =  5
10110010001 // a =  9 , b =  1 , sel =  5
10110010010 // a =  9 , b =  2 , sel =  5
10110010011 // a =  9 , b =  3 , sel =  5
10110010100 // a =  9 , b =  4 , sel =  5
10110010101 // a =  9 , b =  5 , sel =  5
10110010110 // a =  9 , b =  6 , sel =  5
10110010111 // a =  9 , b =  7 , sel =  5
10110011000 // a =  9 , b =  8 , sel =  5
10110011001 // a =  9 , b =  9 , sel =  5
10110011010 // a =  9 , b = 10 , sel =  5
10110011011 // a =  9 , b = 11 , sel =  5
10110011100 // a =  9 , b = 12 , sel =  5
10110011101 // a =  9 , b = 13 , sel =  5
10110011110 // a =  9 , b = 14 , sel =  5
10110011111 // a =  9 , b = 15 , sel =  5
10110100000 // a = 10 , b =  0 , sel =  5
10110100001 // a = 10 , b =  1 , sel =  5
10110100010 // a = 10 , b =  2 , sel =  5
10110100011 // a = 10 , b =  3 , sel =  5
10110100100 // a = 10 , b =  4 , sel =  5
10110100101 // a = 10 , b =  5 , sel =  5
10110100110 // a = 10 , b =  6 , sel =  5
10110100111 // a = 10 , b =  7 , sel =  5
10110101000 // a = 10 , b =  8 , sel =  5
10110101001 // a = 10 , b =  9 , sel =  5
10110101010 // a = 10 , b = 10 , sel =  5
10110101011 // a = 10 , b = 11 , sel =  5
10110101100 // a = 10 , b = 12 , sel =  5
10110101101 // a = 10 , b = 13 , sel =  5
10110101110 // a = 10 , b = 14 , sel =  5
10110101111 // a = 10 , b = 15 , sel =  5
10110110000 // a = 11 , b =  0 , sel =  5
10110110001 // a = 11 , b =  1 , sel =  5
10110110010 // a = 11 , b =  2 , sel =  5
10110110011 // a = 11 , b =  3 , sel =  5
10110110100 // a = 11 , b =  4 , sel =  5
10110110101 // a = 11 , b =  5 , sel =  5
10110110110 // a = 11 , b =  6 , sel =  5
10110110111 // a = 11 , b =  7 , sel =  5
10110111000 // a = 11 , b =  8 , sel =  5
10110111001 // a = 11 , b =  9 , sel =  5
10110111010 // a = 11 , b = 10 , sel =  5
10110111011 // a = 11 , b = 11 , sel =  5
10110111100 // a = 11 , b = 12 , sel =  5
10110111101 // a = 11 , b = 13 , sel =  5
10110111110 // a = 11 , b = 14 , sel =  5
10110111111 // a = 11 , b = 15 , sel =  5
10111000000 // a = 12 , b =  0 , sel =  5
10111000001 // a = 12 , b =  1 , sel =  5
10111000010 // a = 12 , b =  2 , sel =  5
10111000011 // a = 12 , b =  3 , sel =  5
10111000100 // a = 12 , b =  4 , sel =  5
10111000101 // a = 12 , b =  5 , sel =  5
10111000110 // a = 12 , b =  6 , sel =  5
10111000111 // a = 12 , b =  7 , sel =  5
10111001000 // a = 12 , b =  8 , sel =  5
10111001001 // a = 12 , b =  9 , sel =  5
10111001010 // a = 12 , b = 10 , sel =  5
10111001011 // a = 12 , b = 11 , sel =  5
10111001100 // a = 12 , b = 12 , sel =  5
10111001101 // a = 12 , b = 13 , sel =  5
10111001110 // a = 12 , b = 14 , sel =  5
10111001111 // a = 12 , b = 15 , sel =  5
10111010000 // a = 13 , b =  0 , sel =  5
10111010001 // a = 13 , b =  1 , sel =  5
10111010010 // a = 13 , b =  2 , sel =  5
10111010011 // a = 13 , b =  3 , sel =  5
10111010100 // a = 13 , b =  4 , sel =  5
10111010101 // a = 13 , b =  5 , sel =  5
10111010110 // a = 13 , b =  6 , sel =  5
10111010111 // a = 13 , b =  7 , sel =  5
10111011000 // a = 13 , b =  8 , sel =  5
10111011001 // a = 13 , b =  9 , sel =  5
10111011010 // a = 13 , b = 10 , sel =  5
10111011011 // a = 13 , b = 11 , sel =  5
10111011100 // a = 13 , b = 12 , sel =  5
10111011101 // a = 13 , b = 13 , sel =  5
10111011110 // a = 13 , b = 14 , sel =  5
10111011111 // a = 13 , b = 15 , sel =  5
10111100000 // a = 14 , b =  0 , sel =  5
10111100001 // a = 14 , b =  1 , sel =  5
10111100010 // a = 14 , b =  2 , sel =  5
10111100011 // a = 14 , b =  3 , sel =  5
10111100100 // a = 14 , b =  4 , sel =  5
10111100101 // a = 14 , b =  5 , sel =  5
10111100110 // a = 14 , b =  6 , sel =  5
10111100111 // a = 14 , b =  7 , sel =  5
10111101000 // a = 14 , b =  8 , sel =  5
10111101001 // a = 14 , b =  9 , sel =  5
10111101010 // a = 14 , b = 10 , sel =  5
10111101011 // a = 14 , b = 11 , sel =  5
10111101100 // a = 14 , b = 12 , sel =  5
10111101101 // a = 14 , b = 13 , sel =  5
10111101110 // a = 14 , b = 14 , sel =  5
10111101111 // a = 14 , b = 15 , sel =  5
10111110000 // a = 15 , b =  0 , sel =  5
10111110001 // a = 15 , b =  1 , sel =  5
10111110010 // a = 15 , b =  2 , sel =  5
10111110011 // a = 15 , b =  3 , sel =  5
10111110100 // a = 15 , b =  4 , sel =  5
10111110101 // a = 15 , b =  5 , sel =  5
10111110110 // a = 15 , b =  6 , sel =  5
10111110111 // a = 15 , b =  7 , sel =  5
10111111000 // a = 15 , b =  8 , sel =  5
10111111001 // a = 15 , b =  9 , sel =  5
10111111010 // a = 15 , b = 10 , sel =  5
10111111011 // a = 15 , b = 11 , sel =  5
10111111100 // a = 15 , b = 12 , sel =  5
10111111101 // a = 15 , b = 13 , sel =  5
10111111110 // a = 15 , b = 14 , sel =  5
10111111111 // a = 15 , b = 15 , sel =  5
11000000000 // a =  0 , b =  0 , sel =  6
11000000001 // a =  0 , b =  1 , sel =  6
11000000010 // a =  0 , b =  2 , sel =  6
11000000011 // a =  0 , b =  3 , sel =  6
11000000100 // a =  0 , b =  4 , sel =  6
11000000101 // a =  0 , b =  5 , sel =  6
11000000110 // a =  0 , b =  6 , sel =  6
11000000111 // a =  0 , b =  7 , sel =  6
11000001000 // a =  0 , b =  8 , sel =  6
11000001001 // a =  0 , b =  9 , sel =  6
11000001010 // a =  0 , b = 10 , sel =  6
11000001011 // a =  0 , b = 11 , sel =  6
11000001100 // a =  0 , b = 12 , sel =  6
11000001101 // a =  0 , b = 13 , sel =  6
11000001110 // a =  0 , b = 14 , sel =  6
11000001111 // a =  0 , b = 15 , sel =  6
11000010000 // a =  1 , b =  0 , sel =  6
11000010001 // a =  1 , b =  1 , sel =  6
11000010010 // a =  1 , b =  2 , sel =  6
11000010011 // a =  1 , b =  3 , sel =  6
11000010100 // a =  1 , b =  4 , sel =  6
11000010101 // a =  1 , b =  5 , sel =  6
11000010110 // a =  1 , b =  6 , sel =  6
11000010111 // a =  1 , b =  7 , sel =  6
11000011000 // a =  1 , b =  8 , sel =  6
11000011001 // a =  1 , b =  9 , sel =  6
11000011010 // a =  1 , b = 10 , sel =  6
11000011011 // a =  1 , b = 11 , sel =  6
11000011100 // a =  1 , b = 12 , sel =  6
11000011101 // a =  1 , b = 13 , sel =  6
11000011110 // a =  1 , b = 14 , sel =  6
11000011111 // a =  1 , b = 15 , sel =  6
11000100000 // a =  2 , b =  0 , sel =  6
11000100001 // a =  2 , b =  1 , sel =  6
11000100010 // a =  2 , b =  2 , sel =  6
11000100011 // a =  2 , b =  3 , sel =  6
11000100100 // a =  2 , b =  4 , sel =  6
11000100101 // a =  2 , b =  5 , sel =  6
11000100110 // a =  2 , b =  6 , sel =  6
11000100111 // a =  2 , b =  7 , sel =  6
11000101000 // a =  2 , b =  8 , sel =  6
11000101001 // a =  2 , b =  9 , sel =  6
11000101010 // a =  2 , b = 10 , sel =  6
11000101011 // a =  2 , b = 11 , sel =  6
11000101100 // a =  2 , b = 12 , sel =  6
11000101101 // a =  2 , b = 13 , sel =  6
11000101110 // a =  2 , b = 14 , sel =  6
11000101111 // a =  2 , b = 15 , sel =  6
11000110000 // a =  3 , b =  0 , sel =  6
11000110001 // a =  3 , b =  1 , sel =  6
11000110010 // a =  3 , b =  2 , sel =  6
11000110011 // a =  3 , b =  3 , sel =  6
11000110100 // a =  3 , b =  4 , sel =  6
11000110101 // a =  3 , b =  5 , sel =  6
11000110110 // a =  3 , b =  6 , sel =  6
11000110111 // a =  3 , b =  7 , sel =  6
11000111000 // a =  3 , b =  8 , sel =  6
11000111001 // a =  3 , b =  9 , sel =  6
11000111010 // a =  3 , b = 10 , sel =  6
11000111011 // a =  3 , b = 11 , sel =  6
11000111100 // a =  3 , b = 12 , sel =  6
11000111101 // a =  3 , b = 13 , sel =  6
11000111110 // a =  3 , b = 14 , sel =  6
11000111111 // a =  3 , b = 15 , sel =  6
11001000000 // a =  4 , b =  0 , sel =  6
11001000001 // a =  4 , b =  1 , sel =  6
11001000010 // a =  4 , b =  2 , sel =  6
11001000011 // a =  4 , b =  3 , sel =  6
11001000100 // a =  4 , b =  4 , sel =  6
11001000101 // a =  4 , b =  5 , sel =  6
11001000110 // a =  4 , b =  6 , sel =  6
11001000111 // a =  4 , b =  7 , sel =  6
11001001000 // a =  4 , b =  8 , sel =  6
11001001001 // a =  4 , b =  9 , sel =  6
11001001010 // a =  4 , b = 10 , sel =  6
11001001011 // a =  4 , b = 11 , sel =  6
11001001100 // a =  4 , b = 12 , sel =  6
11001001101 // a =  4 , b = 13 , sel =  6
11001001110 // a =  4 , b = 14 , sel =  6
11001001111 // a =  4 , b = 15 , sel =  6
11001010000 // a =  5 , b =  0 , sel =  6
11001010001 // a =  5 , b =  1 , sel =  6
11001010010 // a =  5 , b =  2 , sel =  6
11001010011 // a =  5 , b =  3 , sel =  6
11001010100 // a =  5 , b =  4 , sel =  6
11001010101 // a =  5 , b =  5 , sel =  6
11001010110 // a =  5 , b =  6 , sel =  6
11001010111 // a =  5 , b =  7 , sel =  6
11001011000 // a =  5 , b =  8 , sel =  6
11001011001 // a =  5 , b =  9 , sel =  6
11001011010 // a =  5 , b = 10 , sel =  6
11001011011 // a =  5 , b = 11 , sel =  6
11001011100 // a =  5 , b = 12 , sel =  6
11001011101 // a =  5 , b = 13 , sel =  6
11001011110 // a =  5 , b = 14 , sel =  6
11001011111 // a =  5 , b = 15 , sel =  6
11001100000 // a =  6 , b =  0 , sel =  6
11001100001 // a =  6 , b =  1 , sel =  6
11001100010 // a =  6 , b =  2 , sel =  6
11001100011 // a =  6 , b =  3 , sel =  6
11001100100 // a =  6 , b =  4 , sel =  6
11001100101 // a =  6 , b =  5 , sel =  6
11001100110 // a =  6 , b =  6 , sel =  6
11001100111 // a =  6 , b =  7 , sel =  6
11001101000 // a =  6 , b =  8 , sel =  6
11001101001 // a =  6 , b =  9 , sel =  6
11001101010 // a =  6 , b = 10 , sel =  6
11001101011 // a =  6 , b = 11 , sel =  6
11001101100 // a =  6 , b = 12 , sel =  6
11001101101 // a =  6 , b = 13 , sel =  6
11001101110 // a =  6 , b = 14 , sel =  6
11001101111 // a =  6 , b = 15 , sel =  6
11001110000 // a =  7 , b =  0 , sel =  6
11001110001 // a =  7 , b =  1 , sel =  6
11001110010 // a =  7 , b =  2 , sel =  6
11001110011 // a =  7 , b =  3 , sel =  6
11001110100 // a =  7 , b =  4 , sel =  6
11001110101 // a =  7 , b =  5 , sel =  6
11001110110 // a =  7 , b =  6 , sel =  6
11001110111 // a =  7 , b =  7 , sel =  6
11001111000 // a =  7 , b =  8 , sel =  6
11001111001 // a =  7 , b =  9 , sel =  6
11001111010 // a =  7 , b = 10 , sel =  6
11001111011 // a =  7 , b = 11 , sel =  6
11001111100 // a =  7 , b = 12 , sel =  6
11001111101 // a =  7 , b = 13 , sel =  6
11001111110 // a =  7 , b = 14 , sel =  6
11001111111 // a =  7 , b = 15 , sel =  6
11010000000 // a =  8 , b =  0 , sel =  6
11010000001 // a =  8 , b =  1 , sel =  6
11010000010 // a =  8 , b =  2 , sel =  6
11010000011 // a =  8 , b =  3 , sel =  6
11010000100 // a =  8 , b =  4 , sel =  6
11010000101 // a =  8 , b =  5 , sel =  6
11010000110 // a =  8 , b =  6 , sel =  6
11010000111 // a =  8 , b =  7 , sel =  6
11010001000 // a =  8 , b =  8 , sel =  6
11010001001 // a =  8 , b =  9 , sel =  6
11010001010 // a =  8 , b = 10 , sel =  6
11010001011 // a =  8 , b = 11 , sel =  6
11010001100 // a =  8 , b = 12 , sel =  6
11010001101 // a =  8 , b = 13 , sel =  6
11010001110 // a =  8 , b = 14 , sel =  6
11010001111 // a =  8 , b = 15 , sel =  6
11010010000 // a =  9 , b =  0 , sel =  6
11010010001 // a =  9 , b =  1 , sel =  6
11010010010 // a =  9 , b =  2 , sel =  6
11010010011 // a =  9 , b =  3 , sel =  6
11010010100 // a =  9 , b =  4 , sel =  6
11010010101 // a =  9 , b =  5 , sel =  6
11010010110 // a =  9 , b =  6 , sel =  6
11010010111 // a =  9 , b =  7 , sel =  6
11010011000 // a =  9 , b =  8 , sel =  6
11010011001 // a =  9 , b =  9 , sel =  6
11010011010 // a =  9 , b = 10 , sel =  6
11010011011 // a =  9 , b = 11 , sel =  6
11010011100 // a =  9 , b = 12 , sel =  6
11010011101 // a =  9 , b = 13 , sel =  6
11010011110 // a =  9 , b = 14 , sel =  6
11010011111 // a =  9 , b = 15 , sel =  6
11010100000 // a = 10 , b =  0 , sel =  6
11010100001 // a = 10 , b =  1 , sel =  6
11010100010 // a = 10 , b =  2 , sel =  6
11010100011 // a = 10 , b =  3 , sel =  6
11010100100 // a = 10 , b =  4 , sel =  6
11010100101 // a = 10 , b =  5 , sel =  6
11010100110 // a = 10 , b =  6 , sel =  6
11010100111 // a = 10 , b =  7 , sel =  6
11010101000 // a = 10 , b =  8 , sel =  6
11010101001 // a = 10 , b =  9 , sel =  6
11010101010 // a = 10 , b = 10 , sel =  6
11010101011 // a = 10 , b = 11 , sel =  6
11010101100 // a = 10 , b = 12 , sel =  6
11010101101 // a = 10 , b = 13 , sel =  6
11010101110 // a = 10 , b = 14 , sel =  6
11010101111 // a = 10 , b = 15 , sel =  6
11010110000 // a = 11 , b =  0 , sel =  6
11010110001 // a = 11 , b =  1 , sel =  6
11010110010 // a = 11 , b =  2 , sel =  6
11010110011 // a = 11 , b =  3 , sel =  6
11010110100 // a = 11 , b =  4 , sel =  6
11010110101 // a = 11 , b =  5 , sel =  6
11010110110 // a = 11 , b =  6 , sel =  6
11010110111 // a = 11 , b =  7 , sel =  6
11010111000 // a = 11 , b =  8 , sel =  6
11010111001 // a = 11 , b =  9 , sel =  6
11010111010 // a = 11 , b = 10 , sel =  6
11010111011 // a = 11 , b = 11 , sel =  6
11010111100 // a = 11 , b = 12 , sel =  6
11010111101 // a = 11 , b = 13 , sel =  6
11010111110 // a = 11 , b = 14 , sel =  6
11010111111 // a = 11 , b = 15 , sel =  6
11011000000 // a = 12 , b =  0 , sel =  6
11011000001 // a = 12 , b =  1 , sel =  6
11011000010 // a = 12 , b =  2 , sel =  6
11011000011 // a = 12 , b =  3 , sel =  6
11011000100 // a = 12 , b =  4 , sel =  6
11011000101 // a = 12 , b =  5 , sel =  6
11011000110 // a = 12 , b =  6 , sel =  6
11011000111 // a = 12 , b =  7 , sel =  6
11011001000 // a = 12 , b =  8 , sel =  6
11011001001 // a = 12 , b =  9 , sel =  6
11011001010 // a = 12 , b = 10 , sel =  6
11011001011 // a = 12 , b = 11 , sel =  6
11011001100 // a = 12 , b = 12 , sel =  6
11011001101 // a = 12 , b = 13 , sel =  6
11011001110 // a = 12 , b = 14 , sel =  6
11011001111 // a = 12 , b = 15 , sel =  6
11011010000 // a = 13 , b =  0 , sel =  6
11011010001 // a = 13 , b =  1 , sel =  6
